date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.7,17.9,3.66,0.249,East Godavari,AP
2014-01-02,0.0,27.8,16.9,3.78,0.245,East Godavari,AP
2014-01-03,0.0,28.0,17.6,3.71,0.24,East Godavari,AP
2014-01-04,0.0,27.4,18.6,3.04,0.237,East Godavari,AP
2014-01-05,0.0,28.3,18.6,3.59,0.234,East Godavari,AP
2014-01-06,0.0,28.1,17.5,3.66,0.23,East Godavari,AP
2014-01-07,0.0,28.7,18.5,3.79,0.226,East Godavari,AP
2014-01-08,0.0,27.9,19.4,3.32,0.223,East Godavari,AP
2014-01-09,0.0,27.7,19.6,3.09,0.222,East Godavari,AP
2014-01-10,0.0,27.5,20.8,2.85,0.222,East Godavari,AP
2014-01-11,0.0,28.0,19.1,3.43,0.219,East Godavari,AP
2014-01-12,0.0,28.8,17.5,3.84,0.215,East Godavari,AP
2014-01-13,0.0,27.9,19.4,3.3,0.212,East Godavari,AP
2014-01-14,0.0,27.3,19.8,3.01,0.21,East Godavari,AP
2014-01-15,1.5,27.0,20.2,2.85,0.216,East Godavari,AP
2014-01-16,0.8,27.2,19.7,3.05,0.225,East Godavari,AP
2014-01-17,0.2,27.4,19.1,3.47,0.226,East Godavari,AP
2014-01-18,0.0,27.3,20.7,3.67,0.222,East Godavari,AP
2014-01-19,0.0,28.6,19.6,4.18,0.215,East Godavari,AP
2014-01-20,0.0,28.4,19.8,3.87,0.209,East Godavari,AP
2014-01-21,0.0,28.2,20.0,3.82,0.204,East Godavari,AP
2014-01-22,0.0,26.6,20.2,3.1,0.201,East Godavari,AP
2014-01-23,0.1,26.8,19.6,3.2,0.2,East Godavari,AP
2014-01-24,0.0,27.9,18.3,3.45,0.198,East Godavari,AP
2014-01-25,0.0,27.7,19.7,3.46,0.194,East Godavari,AP
2014-01-26,0.0,28.4,18.9,4.09,0.19,East Godavari,AP
2014-01-27,0.0,27.6,20.0,3.28,0.186,East Godavari,AP
2014-01-28,0.0,28.0,19.9,3.25,0.185,East Godavari,AP
2014-01-29,0.0,27.8,19.2,4.27,0.181,East Godavari,AP
2014-01-30,0.0,28.3,18.3,4.15,0.177,East Godavari,AP
2014-01-31,0.0,28.6,18.6,4.21,0.174,East Godavari,AP
2014-02-01,0.0,28.2,19.3,4.11,0.171,East Godavari,AP
2014-02-02,0.0,29.2,18.5,4.13,0.167,East Godavari,AP
2014-02-03,0.0,29.8,18.1,4.19,0.164,East Godavari,AP
2014-02-04,0.0,31.2,18.6,4.32,0.161,East Godavari,AP
2014-02-05,0.0,30.9,19.5,4.09,0.159,East Godavari,AP
2014-02-06,0.0,31.7,19.3,4.23,0.156,East Godavari,AP
2014-02-07,0.0,31.2,19.9,4.5,0.154,East Godavari,AP
2014-02-08,0.0,31.4,20.6,4.77,0.151,East Godavari,AP
2014-02-09,0.0,32.1,19.2,4.88,0.149,East Godavari,AP
2014-02-10,0.0,31.4,19.3,4.61,0.147,East Godavari,AP
2014-02-11,0.0,30.4,19.0,4.53,0.145,East Godavari,AP
2014-02-12,0.0,30.9,19.0,4.55,0.143,East Godavari,AP
2014-02-13,0.0,29.2,18.8,4.34,0.142,East Godavari,AP
2014-02-14,0.0,28.9,18.8,3.65,0.141,East Godavari,AP
2014-02-15,0.0,28.3,19.0,3.14,0.141,East Godavari,AP
2014-02-16,1.0,27.3,21.1,2.53,0.147,East Godavari,AP
2014-02-17,0.2,29.5,19.4,3.82,0.154,East Godavari,AP
2014-02-18,0.0,29.0,20.6,4.19,0.152,East Godavari,AP
2014-02-19,0.0,29.2,19.3,4.85,0.149,East Godavari,AP
2014-02-20,0.0,29.4,18.0,4.76,0.146,East Godavari,AP
2014-02-21,0.0,29.7,18.3,4.75,0.144,East Godavari,AP
2014-02-22,0.0,29.8,18.8,4.88,0.141,East Godavari,AP
2014-02-23,0.0,28.8,19.8,4.94,0.139,East Godavari,AP
2014-02-24,0.0,29.3,19.5,5.03,0.138,East Godavari,AP
2014-02-25,0.0,29.8,19.3,5.02,0.136,East Godavari,AP
2014-02-26,0.0,30.4,18.1,4.9,0.135,East Godavari,AP
2014-02-27,0.0,30.2,19.3,4.78,0.134,East Godavari,AP
2014-02-28,0.0,29.6,18.5,4.65,0.133,East Godavari,AP
2014-03-01,0.0,29.9,20.8,4.74,0.132,East Godavari,AP
2014-03-02,0.0,30.7,20.0,4.65,0.132,East Godavari,AP
2014-03-03,0.4,29.8,21.4,3.72,0.133,East Godavari,AP
2014-03-04,0.0,29.8,21.6,4.07,0.134,East Godavari,AP
2014-03-05,0.0,29.5,21.1,4.24,0.133,East Godavari,AP
2014-03-06,0.0,30.5,21.0,4.74,0.132,East Godavari,AP
2014-03-07,0.0,30.5,21.1,4.92,0.131,East Godavari,AP
2014-03-08,0.0,31.0,20.6,4.96,0.13,East Godavari,AP
2014-03-09,0.0,31.1,21.8,4.59,0.13,East Godavari,AP
2014-03-10,0.0,31.6,21.7,4.64,0.129,East Godavari,AP
2014-03-11,0.0,31.4,21.6,5.04,0.129,East Godavari,AP
2014-03-12,0.0,30.7,21.9,4.18,0.128,East Godavari,AP
2014-03-13,0.0,31.7,22.9,3.73,0.128,East Godavari,AP
2014-03-14,0.0,34.0,22.9,5.39,0.127,East Godavari,AP
2014-03-15,0.0,34.7,22.0,5.56,0.127,East Godavari,AP
2014-03-16,0.0,34.8,22.8,5.31,0.127,East Godavari,AP
2014-03-17,0.0,34.5,22.8,5.26,0.126,East Godavari,AP
2014-03-18,0.0,35.6,22.3,5.68,0.126,East Godavari,AP
2014-03-19,0.0,36.3,23.2,5.85,0.125,East Godavari,AP
2014-03-20,0.0,35.8,23.8,5.78,0.125,East Godavari,AP
2014-03-21,0.0,35.4,22.6,5.44,0.125,East Godavari,AP
2014-03-22,0.3,34.7,23.2,5.46,0.126,East Godavari,AP
2014-03-23,0.0,34.9,23.8,5.55,0.128,East Godavari,AP
2014-03-24,0.0,34.8,22.3,5.56,0.127,East Godavari,AP
2014-03-25,0.0,34.0,23.7,5.4,0.127,East Godavari,AP
2014-03-26,0.0,35.5,22.7,5.92,0.126,East Godavari,AP
2014-03-27,0.0,35.8,22.7,6.16,0.125,East Godavari,AP
2014-03-28,0.0,37.0,22.0,6.55,0.125,East Godavari,AP
2014-03-29,0.0,38.1,22.9,6.68,0.124,East Godavari,AP
2014-03-30,0.0,37.4,24.9,6.31,0.124,East Godavari,AP
2014-03-31,0.0,37.1,23.8,6.24,0.124,East Godavari,AP
2014-04-01,0.0,36.8,24.3,6.02,0.123,East Godavari,AP
2014-04-02,0.0,36.3,24.6,6.07,0.123,East Godavari,AP
2014-04-03,0.0,35.8,24.2,5.71,0.123,East Godavari,AP
2014-04-04,0.0,35.9,23.9,5.95,0.124,East Godavari,AP
2014-04-05,0.0,36.7,23.6,6.05,0.123,East Godavari,AP
2014-04-06,0.0,35.5,25.2,5.76,0.124,East Godavari,AP
2014-04-07,0.0,35.7,24.8,5.89,0.124,East Godavari,AP
2014-04-08,0.0,36.5,24.0,6.02,0.125,East Godavari,AP
2014-04-09,0.0,36.7,25.5,5.8,0.125,East Godavari,AP
2014-04-10,0.9,37.3,26.1,5.52,0.129,East Godavari,AP
2014-04-11,0.3,36.4,25.5,5.48,0.137,East Godavari,AP
2014-04-12,0.4,35.0,26.1,5.35,0.138,East Godavari,AP
2014-04-13,0.2,34.4,26.0,5.21,0.139,East Godavari,AP
2014-04-14,0.4,35.0,24.0,5.66,0.138,East Godavari,AP
2014-04-15,0.0,35.5,24.6,5.76,0.138,East Godavari,AP
2014-04-16,0.4,35.7,25.6,5.7,0.136,East Godavari,AP
2014-04-17,0.0,35.0,25.2,5.78,0.138,East Godavari,AP
2014-04-18,0.0,35.1,24.5,5.71,0.135,East Godavari,AP
2014-04-19,0.0,36.6,24.7,5.8,0.132,East Godavari,AP
2014-04-20,0.2,37.5,25.7,5.83,0.131,East Godavari,AP
2014-04-21,0.8,36.3,26.9,5.75,0.134,East Godavari,AP
2014-04-22,0.0,37.1,25.7,6.03,0.139,East Godavari,AP
2014-04-23,0.0,37.6,25.7,6.01,0.135,East Godavari,AP
2014-04-24,0.0,37.5,26.2,6.3,0.133,East Godavari,AP
2014-04-25,0.0,38.3,26.8,6.3,0.131,East Godavari,AP
2014-04-26,0.0,36.2,27.3,5.44,0.13,East Godavari,AP
2014-04-27,0.0,36.4,26.3,5.97,0.129,East Godavari,AP
2014-04-28,0.0,36.5,26.3,6.03,0.128,East Godavari,AP
2014-04-29,0.0,36.5,26.0,6.0,0.127,East Godavari,AP
2014-04-30,0.0,35.8,26.1,5.57,0.126,East Godavari,AP
2014-05-01,0.0,36.7,26.6,6.16,0.126,East Godavari,AP
2014-05-02,0.4,36.3,27.1,5.65,0.127,East Godavari,AP
2014-05-03,1.1,36.4,27.2,5.75,0.134,East Godavari,AP
2014-05-04,0.2,36.4,27.2,5.85,0.141,East Godavari,AP
2014-05-05,1.8,34.2,26.7,4.97,0.148,East Godavari,AP
2014-05-06,0.7,35.1,26.6,5.14,0.161,East Godavari,AP
2014-05-07,1.9,35.4,26.6,5.36,0.171,East Godavari,AP
2014-05-08,0.9,35.1,26.6,5.21,0.179,East Godavari,AP
2014-05-09,23.5,32.2,25.7,3.04,0.252,East Godavari,AP
2014-05-10,52.4,31.1,25.1,3.18,0.389,East Godavari,AP
2014-05-11,0.0,34.8,25.7,5.44,0.347,East Godavari,AP
2014-05-12,0.0,36.2,26.2,5.97,0.321,East Godavari,AP
2014-05-13,0.0,36.2,26.0,5.69,0.3,East Godavari,AP
2014-05-14,0.0,37.3,26.9,6.04,0.281,East Godavari,AP
2014-05-15,0.0,37.4,26.9,6.09,0.264,East Godavari,AP
2014-05-16,0.0,37.2,26.8,5.99,0.248,East Godavari,AP
2014-05-17,0.8,36.3,26.9,5.48,0.237,East Godavari,AP
2014-05-18,0.0,35.9,27.8,5.36,0.231,East Godavari,AP
2014-05-19,0.0,34.7,27.7,3.91,0.221,East Godavari,AP
2014-05-20,0.0,35.2,27.0,5.23,0.211,East Godavari,AP
2014-05-21,0.0,37.8,27.7,6.11,0.199,East Godavari,AP
2014-05-22,0.5,39.0,28.5,6.16,0.189,East Godavari,AP
2014-05-23,0.0,39.8,27.9,6.21,0.182,East Godavari,AP
2014-05-24,0.0,37.2,29.1,5.89,0.173,East Godavari,AP
2014-05-25,0.6,34.6,28.1,4.49,0.168,East Godavari,AP
2014-05-26,7.8,35.2,25.8,4.93,0.249,East Godavari,AP
2014-05-27,0.6,34.8,27.3,5.28,0.244,East Godavari,AP
2014-05-28,0.5,35.7,27.8,5.63,0.23,East Godavari,AP
2014-05-29,0.0,36.3,28.3,5.9,0.212,East Godavari,AP
2014-05-30,0.0,37.0,28.0,6.09,0.196,East Godavari,AP
2014-05-31,0.0,37.8,27.5,5.98,0.183,East Godavari,AP
2014-06-01,0.0,36.5,28.9,5.44,0.172,East Godavari,AP
2014-06-02,1.2,35.5,28.5,5.02,0.172,East Godavari,AP
2014-06-03,19.9,35.5,26.2,4.02,0.318,East Godavari,AP
2014-06-04,1.1,34.3,27.8,4.66,0.301,East Godavari,AP
2014-06-05,0.8,36.0,27.6,5.35,0.279,East Godavari,AP
2014-06-06,0.4,36.9,28.2,5.73,0.257,East Godavari,AP
2014-06-07,0.0,39.0,28.6,6.17,0.234,East Godavari,AP
2014-06-08,0.0,39.0,29.4,5.79,0.213,East Godavari,AP
2014-06-09,0.2,36.7,29.6,4.53,0.2,East Godavari,AP
2014-06-10,0.0,38.6,29.9,7.5,0.189,East Godavari,AP
2014-06-11,0.0,39.1,30.1,7.74,0.174,East Godavari,AP
2014-06-12,1.8,39.4,30.6,8.01,0.17,East Godavari,AP
2014-06-13,1.0,39.6,29.3,7.9,0.177,East Godavari,AP
2014-06-14,2.4,36.0,28.3,5.93,0.191,East Godavari,AP
2014-06-15,0.2,37.2,29.3,7.48,0.187,East Godavari,AP
2014-06-16,0.4,38.4,30.4,7.58,0.174,East Godavari,AP
2014-06-17,0.4,38.2,30.3,7.13,0.166,East Godavari,AP
2014-06-18,0.2,34.5,28.1,4.56,0.163,East Godavari,AP
2014-06-19,0.4,35.7,28.8,4.7,0.162,East Godavari,AP
2014-06-20,2.8,33.5,28.6,4.62,0.176,East Godavari,AP
2014-06-21,0.0,35.3,28.3,5.46,0.18,East Godavari,AP
2014-06-22,0.0,35.3,28.7,5.28,0.169,East Godavari,AP
2014-06-23,0.0,37.8,28.4,6.93,0.16,East Godavari,AP
2014-06-24,0.0,38.8,28.5,7.84,0.151,East Godavari,AP
2014-06-25,0.0,39.0,28.7,7.74,0.144,East Godavari,AP
2014-06-26,0.0,37.2,28.9,5.57,0.139,East Godavari,AP
2014-06-27,4.8,30.3,26.9,1.96,0.167,East Godavari,AP
2014-06-28,2.7,30.1,27.0,3.56,0.207,East Godavari,AP
2014-06-29,0.0,34.2,26.3,4.7,0.215,East Godavari,AP
2014-06-30,0.4,36.0,27.4,4.83,0.202,East Godavari,AP
2014-07-01,0.0,36.2,28.6,4.54,0.188,East Godavari,AP
2014-07-02,0.0,37.1,28.1,6.95,0.175,East Godavari,AP
2014-07-03,0.0,37.7,28.9,6.09,0.163,East Godavari,AP
2014-07-04,0.0,37.2,28.9,5.98,0.154,East Godavari,AP
2014-07-05,3.8,37.0,28.0,5.62,0.159,East Godavari,AP
2014-07-06,15.2,35.5,27.3,4.7,0.222,East Godavari,AP
2014-07-07,5.3,34.8,26.1,4.59,0.327,East Godavari,AP
2014-07-08,18.1,33.5,26.7,4.38,0.357,East Godavari,AP
2014-07-09,10.6,33.0,26.6,4.45,0.367,East Godavari,AP
2014-07-10,3.0,33.0,26.3,4.12,0.331,East Godavari,AP
2014-07-11,9.2,28.6,25.4,2.44,0.367,East Godavari,AP
2014-07-12,12.7,28.0,25.0,2.0,0.377,East Godavari,AP
2014-07-13,5.1,29.8,25.1,2.65,0.385,East Godavari,AP
2014-07-14,21.0,27.5,25.4,1.97,0.402,East Godavari,AP
2014-07-15,2.7,29.2,25.5,2.78,0.393,East Godavari,AP
2014-07-16,4.3,31.6,25.1,3.92,0.394,East Godavari,AP
2014-07-17,0.4,31.5,26.4,4.39,0.365,East Godavari,AP
2014-07-18,3.6,29.9,26.4,2.68,0.369,East Godavari,AP
2014-07-19,10.1,28.0,25.3,1.99,0.387,East Godavari,AP
2014-07-20,12.2,29.0,25.2,2.93,0.405,East Godavari,AP
2014-07-21,5.0,29.3,25.1,2.79,0.402,East Godavari,AP
2014-07-22,0.3,29.9,25.6,4.51,0.378,East Godavari,AP
2014-07-23,3.6,31.0,26.1,4.07,0.365,East Godavari,AP
2014-07-24,0.0,31.1,25.3,4.56,0.361,East Godavari,AP
2014-07-25,0.0,32.6,26.2,5.37,0.336,East Godavari,AP
2014-07-26,6.5,29.5,25.7,2.8,0.343,East Godavari,AP
2014-07-27,69.3,26.1,24.6,1.01,0.421,East Godavari,AP
2014-07-28,45.2,25.6,24.1,1.25,0.429,East Godavari,AP
2014-07-29,22.1,28.8,24.6,2.34,0.426,East Godavari,AP
2014-07-30,16.1,27.8,24.6,2.08,0.425,East Godavari,AP
2014-07-31,0.1,30.2,25.4,3.09,0.403,East Godavari,AP
2014-08-01,0.8,32.0,25.6,4.66,0.387,East Godavari,AP
2014-08-02,2.0,31.4,26.1,4.5,0.387,East Godavari,AP
2014-08-03,1.1,30.6,26.9,3.57,0.371,East Godavari,AP
2014-08-04,0.6,29.5,26.9,3.11,0.368,East Godavari,AP
2014-08-05,10.1,30.8,25.0,3.51,0.395,East Godavari,AP
2014-08-06,1.6,31.8,25.4,4.87,0.385,East Godavari,AP
2014-08-07,0.0,31.2,26.7,4.51,0.366,East Godavari,AP
2014-08-08,0.2,32.2,26.0,5.05,0.354,East Godavari,AP
2014-08-09,0.1,32.3,26.2,4.94,0.343,East Godavari,AP
2014-08-10,0.1,32.7,26.6,4.51,0.334,East Godavari,AP
2014-08-11,10.1,32.0,25.9,4.03,0.383,East Godavari,AP
2014-08-12,3.4,32.3,26.1,4.39,0.383,East Godavari,AP
2014-08-13,8.6,32.2,26.2,3.71,0.389,East Godavari,AP
2014-08-14,0.1,32.8,26.2,4.66,0.377,East Godavari,AP
2014-08-15,0.0,32.3,26.7,4.39,0.361,East Godavari,AP
2014-08-16,0.3,30.0,26.3,2.49,0.353,East Godavari,AP
2014-08-17,0.2,31.1,25.4,3.74,0.348,East Godavari,AP
2014-08-18,4.6,32.8,25.1,4.49,0.357,East Godavari,AP
2014-08-19,5.0,32.0,25.1,4.25,0.384,East Godavari,AP
2014-08-20,0.2,32.8,25.9,4.77,0.363,East Godavari,AP
2014-08-21,0.2,31.8,25.7,4.13,0.35,East Godavari,AP
2014-08-22,1.0,31.3,25.5,4.07,0.345,East Godavari,AP
2014-08-23,6.0,31.4,25.0,3.74,0.36,East Godavari,AP
2014-08-24,1.1,31.0,25.5,3.12,0.365,East Godavari,AP
2014-08-25,3.2,31.7,25.0,3.63,0.367,East Godavari,AP
2014-08-26,15.5,30.4,25.1,2.68,0.406,East Godavari,AP
2014-08-27,9.8,26.7,24.6,1.26,0.417,East Godavari,AP
2014-08-28,86.5,27.8,24.2,1.4,0.429,East Godavari,AP
2014-08-29,35.4,27.9,24.0,1.8,0.427,East Godavari,AP
2014-08-30,3.5,27.1,24.9,1.43,0.418,East Godavari,AP
2014-08-31,22.2,28.4,24.8,2.03,0.425,East Godavari,AP
2014-09-01,12.5,29.0,24.2,2.89,0.422,East Godavari,AP
2014-09-02,0.1,30.9,25.5,3.19,0.411,East Godavari,AP
2014-09-03,1.6,31.7,25.4,3.74,0.405,East Godavari,AP
2014-09-04,5.1,30.8,25.5,3.01,0.408,East Godavari,AP
2014-09-05,16.3,27.9,24.7,1.81,0.427,East Godavari,AP
2014-09-06,47.5,25.1,24.1,1.08,0.429,East Godavari,AP
2014-09-07,37.1,29.3,24.1,3.58,0.422,East Godavari,AP
2014-09-08,1.0,30.9,24.9,4.83,0.403,East Godavari,AP
2014-09-09,0.0,31.2,25.0,4.83,0.391,East Godavari,AP
2014-09-10,0.0,30.1,25.5,3.39,0.38,East Godavari,AP
2014-09-11,2.0,29.7,24.2,2.88,0.384,East Godavari,AP
2014-09-12,4.3,31.8,25.6,4.15,0.387,East Godavari,AP
2014-09-13,0.1,31.8,25.3,3.92,0.385,East Godavari,AP
2014-09-14,3.9,32.1,25.7,4.15,0.385,East Godavari,AP
2014-09-15,5.3,31.1,25.9,3.15,0.397,East Godavari,AP
2014-09-16,18.7,27.3,24.8,1.0,0.422,East Godavari,AP
2014-09-17,9.4,30.8,25.0,2.61,0.422,East Godavari,AP
2014-09-18,30.7,32.0,24.9,3.49,0.419,East Godavari,AP
2014-09-19,1.9,30.1,25.4,2.78,0.419,East Godavari,AP
2014-09-20,2.2,29.0,25.3,2.49,0.41,East Godavari,AP
2014-09-21,0.3,32.2,25.0,4.28,0.4,East Godavari,AP
2014-09-22,0.0,32.8,25.9,4.47,0.387,East Godavari,AP
2014-09-23,0.8,32.3,25.9,4.19,0.379,East Godavari,AP
2014-09-24,5.4,32.2,25.1,3.4,0.395,East Godavari,AP
2014-09-25,1.9,32.7,25.2,4.17,0.393,East Godavari,AP
2014-09-26,2.4,32.0,24.7,4.17,0.393,East Godavari,AP
2014-09-27,4.4,31.8,25.1,4.38,0.393,East Godavari,AP
2014-09-28,0.5,31.6,24.5,4.31,0.385,East Godavari,AP
2014-09-29,0.0,32.4,24.2,4.63,0.372,East Godavari,AP
2014-09-30,0.2,32.6,24.4,4.43,0.361,East Godavari,AP
2014-10-01,2.2,32.6,24.4,4.45,0.358,East Godavari,AP
2014-10-02,2.5,32.4,24.8,4.16,0.364,East Godavari,AP
2014-10-03,2.2,32.1,24.8,3.92,0.367,East Godavari,AP
2014-10-04,3.5,31.9,24.5,4.08,0.374,East Godavari,AP
2014-10-05,11.4,31.7,25.0,3.61,0.39,East Godavari,AP
2014-10-06,2.5,30.1,24.2,3.29,0.399,East Godavari,AP
2014-10-07,0.6,30.0,24.4,3.48,0.388,East Godavari,AP
2014-10-08,1.3,31.1,24.4,3.79,0.382,East Godavari,AP
2014-10-09,0.0,31.4,24.1,3.81,0.373,East Godavari,AP
2014-10-10,0.0,32.7,25.1,3.92,0.361,East Godavari,AP
2014-10-11,1.6,32.0,26.9,3.98,0.354,East Godavari,AP
2014-10-12,49.6,26.0,23.0,1.69,0.423,East Godavari,AP
2014-10-13,3.6,31.2,23.4,3.51,0.414,East Godavari,AP
2014-10-14,1.5,31.1,25.7,3.71,0.401,East Godavari,AP
2014-10-15,0.4,30.4,24.9,3.57,0.394,East Godavari,AP
2014-10-16,3.9,31.0,24.1,3.87,0.393,East Godavari,AP
2014-10-17,1.1,31.0,24.1,4.03,0.389,East Godavari,AP
2014-10-18,4.9,30.5,23.6,3.67,0.392,East Godavari,AP
2014-10-19,2.1,30.3,23.7,3.6,0.394,East Godavari,AP
2014-10-20,0.0,30.9,23.6,4.51,0.382,East Godavari,AP
2014-10-21,0.8,29.9,23.5,3.78,0.372,East Godavari,AP
2014-10-22,0.0,30.2,23.6,4.08,0.365,East Godavari,AP
2014-10-23,0.2,30.2,23.7,3.81,0.358,East Godavari,AP
2014-10-24,0.3,30.4,23.5,3.8,0.351,East Godavari,AP
2014-10-25,3.8,29.1,24.0,3.0,0.36,East Godavari,AP
2014-10-26,5.7,28.6,23.8,2.18,0.391,East Godavari,AP
2014-10-27,6.7,27.8,23.4,2.13,0.395,East Godavari,AP
2014-10-28,0.4,28.6,23.7,2.6,0.396,East Godavari,AP
2014-10-29,0.0,30.1,21.7,4.21,0.38,East Godavari,AP
2014-10-30,0.0,30.1,22.0,4.24,0.367,East Godavari,AP
2014-10-31,0.0,30.0,20.9,4.25,0.356,East Godavari,AP
2014-11-01,0.0,29.1,22.8,3.13,0.348,East Godavari,AP
2014-11-02,0.0,30.1,22.7,3.68,0.342,East Godavari,AP
2014-11-03,0.0,29.9,22.1,3.29,0.335,East Godavari,AP
2014-11-04,0.0,30.8,21.9,4.11,0.328,East Godavari,AP
2014-11-05,0.0,31.1,20.4,4.07,0.321,East Godavari,AP
2014-11-06,0.0,31.7,19.9,3.92,0.314,East Godavari,AP
2014-11-07,0.0,31.7,19.6,4.35,0.307,East Godavari,AP
2014-11-08,2.6,30.4,22.1,3.48,0.303,East Godavari,AP
2014-11-09,1.9,28.1,24.9,2.01,0.335,East Godavari,AP
2014-11-10,0.9,30.2,24.8,3.29,0.339,East Godavari,AP
2014-11-11,0.0,30.8,23.8,3.89,0.328,East Godavari,AP
2014-11-12,5.0,29.6,23.0,3.04,0.325,East Godavari,AP
2014-11-13,0.6,29.0,23.9,2.86,0.361,East Godavari,AP
2014-11-14,0.0,30.0,23.9,3.36,0.34,East Godavari,AP
2014-11-15,0.0,30.4,22.5,3.64,0.327,East Godavari,AP
2014-11-16,0.0,30.5,21.5,3.79,0.316,East Godavari,AP
2014-11-17,0.0,30.4,21.2,3.68,0.307,East Godavari,AP
2014-11-18,0.0,29.8,21.9,3.54,0.3,East Godavari,AP
2014-11-19,1.0,29.1,23.0,3.23,0.299,East Godavari,AP
2014-11-20,0.0,29.6,22.1,3.63,0.297,East Godavari,AP
2014-11-21,0.0,29.8,20.8,3.86,0.289,East Godavari,AP
2014-11-22,0.0,29.8,20.0,3.79,0.281,East Godavari,AP
2014-11-23,0.0,29.1,20.2,3.41,0.275,East Godavari,AP
2014-11-24,0.0,29.1,21.2,3.67,0.269,East Godavari,AP
2014-11-25,0.0,28.6,19.7,4.08,0.263,East Godavari,AP
2014-11-26,0.0,29.4,18.6,4.05,0.257,East Godavari,AP
2014-11-27,0.0,29.5,18.5,4.02,0.251,East Godavari,AP
2014-11-28,0.0,28.8,19.2,3.52,0.246,East Godavari,AP
2014-11-29,0.0,29.6,19.7,3.99,0.241,East Godavari,AP
2014-11-30,0.0,30.3,19.1,4.35,0.235,East Godavari,AP
2014-12-01,0.0,30.4,18.5,4.22,0.229,East Godavari,AP
2014-12-02,0.0,30.3,17.7,3.76,0.224,East Godavari,AP
2014-12-03,0.0,30.2,18.9,3.91,0.22,East Godavari,AP
2014-12-04,0.0,29.9,18.0,3.92,0.216,East Godavari,AP
2014-12-05,0.0,28.8,17.8,3.78,0.212,East Godavari,AP
2014-12-06,0.0,29.0,18.6,3.85,0.208,East Godavari,AP
2014-12-07,0.0,29.6,18.9,3.81,0.204,East Godavari,AP
2014-12-08,0.0,29.7,20.3,3.77,0.201,East Godavari,AP
2014-12-09,0.0,29.6,21.1,3.61,0.198,East Godavari,AP
2014-12-10,0.0,28.9,21.6,3.17,0.195,East Godavari,AP
2014-12-11,0.2,29.3,21.4,3.4,0.193,East Godavari,AP
2014-12-12,0.0,28.8,22.0,3.73,0.192,East Godavari,AP
2014-12-13,0.0,28.4,21.2,3.8,0.189,East Godavari,AP
2014-12-14,0.0,28.8,20.0,3.64,0.186,East Godavari,AP
2014-12-15,0.0,29.3,21.1,3.38,0.184,East Godavari,AP
2014-12-16,0.0,30.3,21.0,3.8,0.182,East Godavari,AP
2014-12-17,0.0,29.1,21.0,3.32,0.179,East Godavari,AP
2014-12-18,0.0,28.7,21.0,4.13,0.177,East Godavari,AP
2014-12-19,0.0,28.0,19.2,4.36,0.173,East Godavari,AP
2014-12-20,0.0,27.2,16.6,3.95,0.171,East Godavari,AP
2014-12-21,0.0,27.6,17.1,4.04,0.168,East Godavari,AP
2014-12-22,0.0,26.9,17.4,3.99,0.166,East Godavari,AP
2014-12-23,0.0,27.5,17.4,4.03,0.164,East Godavari,AP
2014-12-24,0.0,28.3,17.9,3.98,0.162,East Godavari,AP
2014-12-25,0.0,28.0,18.1,3.75,0.16,East Godavari,AP
2014-12-26,0.0,28.3,17.9,3.91,0.158,East Godavari,AP
2014-12-27,0.0,27.9,17.6,3.93,0.156,East Godavari,AP
2014-12-28,0.0,27.7,19.0,4.29,0.154,East Godavari,AP
2014-12-29,10.7,25.3,18.9,2.18,0.203,East Godavari,AP
2014-12-30,8.2,27.2,20.1,3.05,0.302,East Godavari,AP
2014-12-31,0.9,27.9,21.7,2.8,0.338,East Godavari,AP
2015-01-01,0.0,31.1,22.1,3.64,0.299,East Godavari,AP
2015-01-02,0.1,29.3,22.4,2.9,0.28,East Godavari,AP
2015-01-03,0.5,29.3,21.4,3.06,0.271,East Godavari,AP
2015-01-04,0.0,29.5,21.2,3.11,0.262,East Godavari,AP
2015-01-05,0.0,29.8,22.4,3.48,0.253,East Godavari,AP
2015-01-06,0.0,28.9,20.6,3.15,0.244,East Godavari,AP
2015-01-07,0.0,30.0,20.1,3.42,0.236,East Godavari,AP
2015-01-08,0.2,29.6,20.5,3.48,0.229,East Godavari,AP
2015-01-09,0.0,29.0,16.4,3.87,0.221,East Godavari,AP
2015-01-10,0.0,27.9,17.7,3.71,0.213,East Godavari,AP
2015-01-11,0.0,27.6,16.0,4.08,0.205,East Godavari,AP
2015-01-12,0.0,28.0,16.3,3.97,0.198,East Godavari,AP
2015-01-13,0.0,27.8,17.4,3.84,0.192,East Godavari,AP
2015-01-14,0.0,28.0,18.1,3.95,0.187,East Godavari,AP
2015-01-15,0.0,29.5,18.4,4.33,0.181,East Godavari,AP
2015-01-16,0.0,30.2,18.2,4.01,0.176,East Godavari,AP
2015-01-17,0.0,28.9,18.2,3.79,0.172,East Godavari,AP
2015-01-18,0.0,29.5,16.5,4.07,0.168,East Godavari,AP
2015-01-19,0.0,28.6,16.9,4.07,0.164,East Godavari,AP
2015-01-20,0.0,27.5,17.4,4.16,0.16,East Godavari,AP
2015-01-21,0.0,27.2,17.1,4.3,0.158,East Godavari,AP
2015-01-22,0.0,27.9,17.2,4.38,0.155,East Godavari,AP
